order_id,order_line,order_date,ship_date,customer_id,customer_name,customer_type,region,country,sku,quantity,negotiated_unit_price,total_line_value,order_status,priority
ORD-000572,1,2025-12-15,2025-12-19,CUST-1027,Rapid Manufacturing,EMS,EMEA,United Kingdom,CHIP-ORPHAN-0003,2500,22.2,55500.0,Shipped,Critical
ORD-000134,3,11/01/2025,2025-12-09,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,5000,19.9,99500.0,Shipped,Critical
ORD-000073,2,03/26/2025,2025-04-06,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-MCP-0005,10000,1.47,14700.0,Shipped,Critical
ORD-000198,2,03-Jan-2024,2024-01-11,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,2500,18.86,47150.0,Confirmed,Standard
ORD-000301,3,2024-08-13,2024-09-27,CUST-1046,Sigma Components,EMS,APAC,China,CHIP-MPF-0011,10,20.77,207.7,Shipped,Standard
ORD-000312,3,2025-10-14,2025-11-20,CUST-9901,TEST Account 2,OEM,Americas,United States,CHIP-PIC32-0010,5000,4.49,22450.0,Confirmed,Standard
ORD-000321,2,2025-03-27,2025-04-08,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-MPF-0012,5000,13.28,66400.0,Shipped,Expedite
ORD-000039,5,2025-10-31,2025-11-11,CUST-1060,Prime Electronics,Distributor,APAC,China,CHIP-PIC32-0011,1000,27.52,27520.0,Confirmed,Expedite
ORD-000169,2,2024-04-07,2024-05-15,CUST-1079,Global Technologies,CM,APAC,South Korea,CHIP-dsPIC-0015,100,13.21,1321.0,Shipped,Standard
ORD-000178,2,2025-02-22,2025-03-04,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-PIC32-0002,10000,4.53,45300.0,Shipped,Expedite
ORD-000112,1,2024-08-15,2024-09-27,CUST-1047,Jade Devices,OEM,APAC,Singapore,CHIP-dsPIC-0010,10000,4.37,43700.0,Backordered,Standard
ORD-000033,1,02/21/2024,2024-03-03,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-MCP-0009,2500,19.64,49100.0,Cancelled,Expedite
ORD-000381,5,2024-10-13,2024-11-24,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0005,5000,11.65,58250.0,Pending,Expedite
ORD-000271,4,2024-10-12,2024-10-22,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-PIC32-0001,250,34.82,8705.0,Shipped,Standard
ORD-000051,1,2025-03-15,2025-04-15,CUST-1006,Bolt Systems,OEM,EMEA,United Kingdom,CHIP-dsPIC-0005,500,9.77,3916.06,Shipped,Standard
ORD-000484,2,2025-05-23,2025-06-26,CUST-1072,Atlas Systems,OEM,Americas,United States,CHIP-MCP-0007,10000,10.28,102800.0,Shipped,Standard
ORD-000422,1,2024-10-29,2024-11-02,CUST-1036,Global Solutions,CM,Americas,United States,CHIP-MPF-0014,1000,4.31,3897.94,Pending,Standard
ORD-000267,1,04/05/2024,2024-05-07,CUST-1066,Iris Technologies,OEM,EMEA,France,CHIP-WBZ-0015,2500,4.38,10950.0,Shipped,Standard
ORD-000336,3,02-Nov-2025,2025-11-28,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-dsPIC-0009,1000,15.11,15110.0,Shipped,Critical
ORD-000220,1,04-Dec-2024,2025-01-10,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,2500,18.37,45925.0,Confirmed,Critical
ORD-000558,2,11/14/2024,2024-12-10,CUST-1022,Jolt Solutions,OEM,APAC,Singapore,CHIP-MCP-0003,5000,7.6,44147.45,Shipped,Expedite
ORD-000210,1,10/29/2025,2025-11-21,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,5000,7.09,36675.72,Shipped,Critical
ORD-000172,1,2025-02-22,2025-03-11,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,1000,7.33,7330.0,Cancelled,Standard
ORD-000520,1,2024-02-18,2024-03-02,CUST-1034,Omega Semiconductor,EMS,Japan,Japan,CHIP-MPF-0012,25,10.56,264.0,Confirmed,Critical
ORD-000386,1,02/14/2025,2025-03-09,CUST-1027,Rapid Manufacturing,EMS,EMEA,United Kingdom,CHIP-PIC18-0012,500,27.12,13560.0,Pending,Standard
ORD-000308,1,2025-06-07,2025-07-22,CUST-1026,Global Electronics,CM,Americas,Mexico,CHIP-dsPIC-0012,10000,6.98,69800.0,Confirmed,Expedite
ORD-000324,2,2024-11-17,2024-11-25,CUST-1055,Iris Electronics,OEM,Asia-Pacific,Taiwan,CHIP-MCP-0004,10,20.33,203.3,Shipped,Expedite
ORD-000447,3,2025-03-13,2025-04-23,CUST-1047,Jade Devices,OEM,APAC,Singapore,CHIP-dsPIC-0010,10000,4.42,44200.0,Backordered,Critical
ORD-000152,1,08-Jun-2024,2024-06-09,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,2500,7.99,19975.0,Backordered,Critical
ORD-000482,1,03-Oct-2024,2024-10-14,CUST-1034,Omega Semiconductor,EMS,Japan,Japan,CHIP-MPF-0012,2500,11.05,27625.0,Shipped,Expedite
ORD-000083,1,04/16/2025,2025-05-07,CUST-1022,Jolt Solutions,OEM,APAC,Singapore,CHIP-MCP-0004,500,16.2,8100.0,Confirmed,Standard
ORD-000351,1,06/30/2025,2025-07-05,CUST-1055,Iris Electronics  ,OEM,APAC,Taiwan,CHIP-MCP-0011,10000,26.66,266600.0,Shipped,Critical
ORD-000535,3,01-May-2024,2024-05-11,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-PIC18-0011,2500,28.3,70750.0,Shipped,Expedite
ORD-000576,4,2024-05-21,2024-06-25,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,250,7.53,1882.5,Shipped,Expedite
ORD-000408,1,2025-10-05,2025-10-08,CUST-1072,Atlas Systems,OEM,Americas,United States,CHIP-ORPHAN-0014,10,8.62,86.2,Confirmed,Standard
ORD-000270,3,2024-04-22,2024-05-07,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-PIC32-0009,1000,22.45,22450.0,Shipped,Expedite
ORD-000306,1,2024-10-03,2024-11-14,CUST-1055,Iris Electronics,OEM,APAC,Taiwan,CHIP-WBZ-0001,500,27.06,13530.0,Shipped,Critical
ORD-000262,1,2025-06-25,2025-08-03,CUST-1038,Rapid Semiconductor,Distributor,APAC,Taiwan,CHIP-PIC18-0002,25,1.85,46.25,Shipped,Critical
ORD-000338,2,2024-03-26,2024-04-05,CUST-1037,Iris Devices,CM,EMEA,Israel,CHIP-PIC32-0007,10,21.14,211.4,Shipped,Expedite
ORD-000268,1,12-Mar-2025,2025-03-28,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,10000,18.77,187700.0,Shipped,Critical
ORD-000370,5,08/01/2024,2024-09-13,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-PIC18-0008,1000,12.51,12510.0,Pending,Expedite
ORD-000260,1,2024-07-12,2024-08-19,CUST-1028,Drift Solutions,Distributor,EMEA,United Kingdom,CHIP-PIC18-0005,250,30.73,7682.5,Confirmed,Standard
ORD-000269,2,2024-06-07,2024-06-23,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,2500,7.13,17825.0,Shipped,Critical
ORD-000543,1,2024-01-16,2024-01-21,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-MCP-0012,10,9.26,92.6,Pending,Expedite
ORD-000126,1,26-Jun-2024,2024-08-08,CUST-1035,Kilo Solutions,CM,APAC,South Korea,CHIP-MCP-0010,25,32.0,800.0,Confirmed,Critical
ORD-000218,1,07/14/2024,2024-08-22,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-MPF-0015,250,7.48,1870.0,Backordered,Critical
ORD-000377,2,2024-11-27,2024-11-30,CUST-1047,Jade Devices,OEM,APAC,Singapore,CHIP-PIC18-0007,500,24.0,12000.0,Shipped,Standard
ORD-000059,1,2024-04-26,2024-05-03,CUST-1028,Drift Solutions,Distributor,EMEA,United Kingdom,CHIP-PIC32-0002,5000,4.92,24600.0,Pending,Standard
ORD-000295,4,2025-11-29,2025-12-27,CUST-1003,Sigma Electronics,OEM,JP,Japan,CHIP-PIC32-0004,10000,46.6,466000.0,Shipped,Expedite
ORD-000057,1,17-Mar-2024,2024-04-18,CUST-1026,Global Electronics,CM,Americas,Mexico,CHIP-MCP-0011,5000,24.49,122450.0,Shipped,Expedite
ORD-000500,1,01/09/2024,2024-01-10,CUST-1072,Atlas Systems,OEM,Americas,United States,CHIP-MCP-0009,10000,18.86,188600.0,Cancelled,Standard
ORD-000007,2,2024-11-17,2024-11-29,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,10000,18.83,188300.0,Backordered,Expedite
ORD-000294,1,23-Aug-2025,2025-09-19,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,10,11.27,112.7,Shipped,Critical
ORD-000143,2,04/22/2024,2024-05-13,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,7.05,3525.0,Shipped,Standard
ORD-000256,1,06/11/2025,2025-06-14,CUST-1041,Giga Semiconductor,Distributor,APAC,Singapore,CHIP-MPF-0016,10000,16.41,164100.0,Cancelled,Critical
ORD-000114,1,2025-06-12,2025-07-23,CUST-1003,Sigma Electronics,OEM,JP,Japan,CHIP-dsPIC-0009,1000,18.89,18890.0,Backordered,Standard
ORD-000255,1,2024-02-22,2024-03-21,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,5000,11.91,59550.0,Shipped,Standard
ORD-000080,2,03/15/2024,2024-04-17,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-MPF-0014,250,4.42,1105.0,Shipped,Standard
ORD-000286,1,05/23/2025,2025-07-02,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,10000,7.08,70800.0,Cancelled,Standard
ORD-000376,3,2024-08-01,2024-08-26,CUST-1006,Bolt Systems,OEM,EMEA,United Kingdom,CHIP-MCP-0005,250,2.22,528.37,Shipped,Expedite
ORD-000015,1,07/13/2025,2025-07-27,CUST-1061,Delta Solutions,OEM,Americas,Brazil,CHIP-dsPIC-0014,250,44.72,11180.0,Backordered,Standard
ORD-000499,2,2024-02-19,2024-03-29,CUST-1029,Apex Dynamics,EMS,EMEA,Italy,CHIP-PIC18-0010,10000,18.45,184500.0,Backordered,Standard
ORD-000381,3,2024-10-13,2024-11-24,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,7.46,3730.0,Pending,Expedite
ORD-000433,1,03-Jan-2025,2025-01-31,CUST-1057,Halo Semiconductor,Distributor,APAC,Taiwan,CHIP-MCP-0002,2500,8.55,21375.0,Shipped,Expedite
ORD-000468,1,2025-08-24,2025-09-01,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,1000,19.76,19760.0,Shipped,Expedite
ORD-000315,1,2024-07-17,2024-08-08,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,7.42,3710.0,Shipped,Standard
ORD-000577,3,2024-01-01,2024-01-07,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-WBZ-0002,10,16.26,162.6,Confirmed,Standard
ORD-000024,2,2024-11-13,2024-12-28,CUST-1013,Omega Dynamics,EMS,EMEA,Italy,CHIP-MCP-0012,10,8.23,82.3,Shipped,Standard
ORD-000171,3,2024-01-21,2024-01-25,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-dsPIC-0015,1000,15.1,15100.0,Cancelled,Standard
ORD-000155,2,06/21/2025,2025-07-13,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,1000,7.01,7010.0,Shipped,Critical
ORD-000365,4,2025-05-10,2025-06-04,CUST-1034,Omega Semiconductor,EMS,Japan,Japan,CHIP-dsPIC-0014,250,37.54,9385.0,Shipped,Standard
ORD-000294,2,23-Aug-2025,2025-09-19,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,500,10.73,4997.75,Shipped,Critical
ORD-000051,2,2025-03-15,2025-04-15,CUST-1006,Bolt Systems,OEM,EMEA,United Kingdom,CHIP-dsPIC-0005,1000,9.38,9380.0,Shipped,Standard
ORD-000378,1,2024-04-22,2024-05-03,CUST-1051,Bright Devices,EMS,APAC,China,CHIP-MCP-0006,10000,19.27,192700.0,Shipped,Standard
ORD-000359,2,02/17/2025,2025-03-21,CUST-1046,Sigma Components,EMS,APAC,China,CHIP-MPF-0011,1000,21.91,21910.0,Pending,Expedite
ORD-000398,1,06/20/2025,2025-07-02,CUST-1006,Bolt Systems,OEM,EMEA,United Kingdom,CHIP-dsPIC-0005,2500,10.26,25650.0,Confirmed,Critical
ORD-000408,3,2025-10-05,2025-10-08,CUST-1072,Atlas Systems,OEM,Americas,United States,CHIP-WBZ-0009,250,13.99,3497.5,Confirmed,Standard
ORD-000325,2,2025-12-14,2026-01-19,CUST-1051,Bright Devices,EMS,APAC,China,CHIP-dsPIC-0004,2500,40.88,102200.0,Shipped,Expedite
ORD-000145,2,2025-04-29,2025-05-29,CUST-1037,Iris Devices,CM,EMEA,Israel,CHIP-dsPIC-0011,10,25.03,250.3,Shipped,Critical
ORD-000287,2,01/16/2024,2024-01-18,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,5000,7.57,37850.0,Shipped,Expedite
ORD-000387,1,2025-09-28,2025-10-30,CUST-1045,Ultra Electronics,CM,Americas,Brazil,CHIP-MCP-0010,500,30.27,15135.0,Confirmed,Expedite
ORD-000368,1,2024-04-06,2024-05-05,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,7.08,3540.0,Shipped,Critical
ORD-000563,3,2025-08-15,2025-09-29,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,8.06,4030.0,Shipped,Expedite
ORD-000510,1,2025-11-25,2025-12-02,CUST-1026,Global Electronics,CM,Americas,Mexico,CHIP-MPF-0015,100,13.69,1369.0,Shipped,Standard
ORD-000047,2,2024-12-10,2024-12-28,CUST-1034,Omega Semiconductor,EMS,Japan,Japan,CHIP-MCP-0012,10,9.16,91.6,Confirmed,Expedite
ORD-000488,1,2024-12-03,2025-01-01,CUST-1037,Iris Devices,CM,EMEA,Israel,CHIP-WBZ-0001,1000,27.8,27800.0,Shipped,Critical
ORD-000239,2,12-Jan-2025,2025-02-10,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-dsPIC-0011,10000,25.08,250800.0,Confirmed,Critical
ORD-000029,1,25-May-2024,2024-06-12,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,2500,7.37,18425.0,Shipped,Standard
ORD-000502,1,07/06/2024,2024-08-03,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,10000,11.03,110300.0,Confirmed,Expedite
ORD-000390,2,2025-12-24,2026-01-17,CUST-9901,TEST Account 2,OEM,Americas,United States,CHIP-WBZ-0003,50,11.54,577.0,Pending,Expedite
ORD-000351,3,06/30/2025,2025-07-05,CUST-1055,Iris Electronics,OEM,APAC,Taiwan,CHIP-WBZ-0006,50,37.73,1886.5,Shipped,Critical
ORD-000379,4,2025-09-04,2025-10-08,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-MCP-0004,500,20.87,10435.0,Shipped,Standard
ORD-000367,1,04/12/2025,2025-04-13,CUST-1079,Global Technologies,CM,APAC,South Korea,CHIP-WBZ-0016,500,25.72,12860.0,Shipped,Expedite
ORD-000023,2,2024-09-03,2024-10-05,CUST-1019,Halo Manufacturing,OEM,Japan,Japan,CHIP-PIC18-0008,10,14.84,148.4,Confirmed,Standard
ORD-000493,1,2024-02-20,2024-02-21,CUST-1054,Ultra Components,Distributor,Americas,Brazil,CHIP-MCP-0010,500,21.71,10855.0,Confirmed,Standard
ORD-000286,2,05/23/2025,2025-07-02,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,1000,8.01,8010.0,Cancelled,Standard
ORD-000206,1,2024-07-19,2024-08-29,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,10000,20.05,200500.0,Shipped,Expedite
ORD-000455,2,2024-06-14,2024-07-25,CUST-1028,Drift Solutions,Distributor,EMEA,United Kingdom,CHIP-PIC32-0010,5000,3.03,15150.0,Confirmed,Standard
ORD-000519,1,27-Jul-2025,2025-08-22,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,1000,11.64,10803.98,Shipped,Standard
ORD-000275,1,10/03/2024,2024-10-10,CUST-1029,Apex Dynamics,EMS,EMEA,Italy,CHIP-MCP-0009,100,15.63,1563.0,Shipped,Expedite
ORD-000239,1,12-Jan-2025,2025-02-10,CUST-1001,Pacific Components,Distributor,Asia-Pacific,China,CHIP-MPF-0008,250,30.81,7702.5,Confirmed,Critical
ORD-000224,4,2024-05-04,2024-05-28,CUST-1075,Rapid Solutions,OEM,APAC,Singapore,CHIP-MPF-0012,50,13.26,663.0,Shipped,Standard
ORD-000201,1,2024-03-01,2024-04-10,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-WBZ-0002,25,15.44,386.0,Backordered,Standard
ORD-000103,1,2024-02-27,2024-03-20,CUST-9901,TEST Account 2,OEM,AMER,United States,CHIP-MCP-0009,10000,17.35,173500.0,Shipped,Expedite
ORD-000502,4,07/06/2024,2024-08-03,CUST-1062,Xeno Manufacturing,OEM,Japan,Japan,CHIP-PIC32-0006,10000,11.49,114900.0,Confirmed,Expedite
ORD-000473,2,2025-07-28,2025-08-19,CUST-1054,Ultra Components,Distributor,Americas,Brazil,CHIP-dsPIC-0007,1000,6.54,6540.0,Shipped,Critical
ORD-000104,1,2025-02-07,2025-02-17,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,1000,6.97,6970.0,Shipped,Standard
ORD-000368,2,2024-04-06,2024-05-05,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-MPF-0013,10000,2.3,23000.0,Shipped,Critical
ORD-000041,1,02/08/2025,2025-02-11,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,250,7.63,1907.5,Confirmed,Critical
ORD-000474,5,04/26/2024,2024-05-25,CUST-1047,Jade Devices,OEM,APAC,Singapore,CHIP-MCP-0005,10000,2.12,21200.0,Shipped,Critical
ORD-000570,3,2024-04-17,2024-05-23,CUST-1021,Echo Systems,EMS,APAC,South Korea,CHIP-PIC32-0007,250,24.9,6225.0,Shipped,Expedite
ORD-000169,1,2024-04-07,2024-05-15,CUST-1079,Global Technologies,CM,APAC,South Korea,CHIP-MPF-0015,100,11.35,1135.0,Shipped,Standard
ORD-000301,4,2024-08-13,2024-09-27,CUST-1046,Sigma Components,EMS,APAC,China,CHIP-WBZ-0003,10,9.59,95.9,Shipped,Standard
ORD-000540,3,2025-02-14,2025-02-26,CUST-1030,Halo Technologies,Distributor,Japan,Japan,CHIP-WBZ-0002,50,16.38,819.0,Shipped,Standard
ORD-000209,2,2024-05-10,2024-05-14,CUST-1022,Jolt Solutions,OEM,APAC,Singapore,CHIP-MCP-0004,2500,16.12,40300.0,Cancelled,Expedite
ORD-000492,1,01/23/2025,2025-03-08,CUST-1045,Ultra Electronics,CM,Americas,Brazil,CHIP-MCP-0006,50,18.35,917.5,Shipped,Critical
ORD-000020,1,2025-11-27,2025-12-26,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,10000,17.62,176200.0,Shipped,Critical
ORD-000315,2,2024-07-17,2024-08-08,CUST-1000,Apex Semiconductor,OEM,AMER,United States,CHIP-dsPIC-0014,250,39.35,9837.5,Shipped,Standard
ORD-000224,3,2024-05-04,2024-05-28,CUST-1075,Rapid Solutions,OEM,Asia-Pacific,Singapore,CHIP-MCP-0012,500,10.46,5230.0,Shipped,Standard
ORD-000208,3,2024-03-17,2024-04-02,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-PIC32-0008,5000,6.3,31500.0,Shipped,Expedite
ORD-000504,1,04/01/2024,2024-05-05,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-MPF-0015,50,7.32,366.06,Shipped,Critical
ORD-000545,1,30-May-2025,2025-07-10,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-PIC18-0008,5000,14.41,72050.0,Confirmed,Expedite
ORD-000320,1,11/10/2024,2024-12-17,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,2500,17.31,43275.0,Confirmed,Expedite
ORD-000151,1,09/23/2024,2024-10-17,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,500,19.01,9505.0,Shipped,Critical
ORD-000578,1,2024-08-09,2024-08-29,CUST-1004,Terra Devices,Distributor,Americas,United States,CHIP-dsPIC-0002,250,0.59,147.5,Pending,Standard
ORD-000222,2,05/13/2024,2024-05-27,CUST-1031,Zen Components,OEM,Japan,Japan,CHIP-WBZ-0011,1000,27.45,27450.0,Shipped,Critical
ORD-000065,4,2025-07-17,2025-08-09,CUST-1044,Echo Semiconductor,EMS,APAC,China,CHIP-dsPIC-0011,1000,33.1,33100.0,Shipped,Critical
ORD-000066,3,2025-04-01,2025-05-03,CUST-1070,Zen Solutions,EMS,AMER,Mexico,CHIP-PIC18-0008,50,11.73,586.5,Shipped,Critical
ORD-000350,4,10-Nov-2025,2025-12-02,CUST-1051,Bright Devices,EMS,APAC,China,CHIP-dsPIC-0012,1000,6.51,6510.0,Pending,Standard
ORD-000033,2,02/21/2024,2024-03-03,CUST-1003,Sigma Electronics,OEM,Japan,Japan,CHIP-PIC18-0005,5000,36.71,183550.0,Cancelled,Expedite
ORD-000416,1,2024-07-10,2024-07-31,CUST-1009,Bolt Components,CM,Japan,Japan,CHIP-PIC32-0002,10000,5.34,53400.0,Pending,Standard
ORD-000446,2,2025-10-25,2025-11-26,CUST-1015,Ether Solutions,EMS,APAC,Taiwan,CHIP-WBZ-0012,100,4.56,456.0,Shipped,Expedite
